ID,link
82,http://www.dancohen.org/2011/03/30/a-million-syllabi/
83,https://courses.cs.washington.edu/courses/cse544/07au/syllabus.html
84,http://www.philadelphia.edu.jo/it/cs/syllabus/750461.pdf
85,https://www.edge-technologies.com/downloads/training/AppBoard%2520203%2520-%2520Databases%2520and%2520Queries.pdf
86,http://www.slu.edu/madrid/academics/courses-and-syllabi
87,http://publichealth.uic.edu/sites/default/files/public/documents/centers-and-practice/pdf/hpa-480-eohs-475.pdf
88,http://advising.utk.edu/resources/syllabi-repository-2/
89,http://ischool.umd.edu/sites/default/files/syllabi/INST733-Spring2013-Diker.pdf
90,http://smude.edu.in/smude/programs/management/mba/information-systems-management/database-management-systems.html
91,http://www.waketech.edu/sites/default/files/computer_technologies/Syllabi/DBA-260.pdf
92,http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc06_database_systems/
93,http://umaine.edu/scis/files/2012/12/SIE557Syllabus.pdf
94,http://www.uww.edu/acadaff/facstaff/syllabi_instructions
95,http://cs.iupui.edu/~aharris/db/syl.html
96,http://bdigital.ufp.pt/bitstream/10284/3593/3/Course%2520Report.pdf
97,http://csit.udc.edu/~byu/UDC3530507/DBsyllabus.html
98,http://library.vtc.edu.hk/web/english/exam/exam.php
99,http://classes.engr.oregonstate.edu/eecs/winter2015/cs340/Syllabus.pdf
100,https://cct.lsu.edu/~sidhanti/classes/csc4402/csc4402-sylla.pdf
101,http://www.theparticle.com/cs/bc/dbsys/syllabus.html
102,http://www1.rmit.edu.au/browse/About%2520RMIT%252F%3BID%3D8mbzqo8n1xjv.pdf%3BSTATUS%3DA
103,https://www.cityu.edu.hk/ug/201516/course/CS3402.pdf
104,http://users.humboldt.edu/smtuttle/s13cs318/318syllabus.pdf
105,https://www.bgsu.edu/content/dam/BGSU/college-of-arts-and-sciences/computer-science/documents/syllabi/cs5620.pdf
106,http://www.ipu.ac.in/syllabus/dba.htm
107,http://www.emertxe.com/syllabus/emertxe_oracle_10g_syllabus.pdf
108,https://www.youtube.com/watch%3Fv%3DKpwRA6o-3jg
109,https://www.montana.edu/provost/SyllabusDatabase.html
110,https://eng.ucmerced.edu/crf/engineering/cse-111-database-systems/at_download/syllabus
111,http://is.njit.edu/docs/SampleIS331Syllabus.pdf
112,http://computer-science.egr.vcu.edu/wp-content/uploads/sites/1833/2012/07/618_Course_Syllabus.pdf
113,http://www.ou.edu/ouslis/Evidence/Curriculum/new%2520courses/5683databasedesign.pdf
114,https://www.flcc.edu/pdf/syllabi/CSC251.pdf
115,http://www.austincc.edu/CISPTD/dbhome.htm
116,http://jewishhistory.huji.ac.il/Syllabi/syllabi.htm
117,http://www.nytimes.com/2016/01/24/opinion/sunday/what-a-million-syllabuses-can-teach-us.html
118,http://www.cs.utep.edu/nvillanuevarosales/CS4342/
119,http://classie.stonybrook.edu/
120,https://www.american.edu/cas/cs/pdf/upload/syl-csc-570-database-ford-pdf.pdf
121,http://www.tamuc.edu/academics/cvSyllabi/syllabi/201580/83327.pdf
122,https://sph.umich.edu/academics/courses/syllabi/HMP669.pdf
123,http://www.inf.unibz.it/~nutt/IDBs1011/IDBInstructions/syllabus-slides.pdf
124,http://www.kanchiuniv.ac.in/it/griffin%2520course%2520content/3%2520Syllabus%2520ORACLE.pdf
125,https://www.apus.edu/schedule-classes/schedule/course/info161%3FsyllabusID%3DINFO161
126,https://www.amrita.edu/school/biotechnology/academics/pg/database-management-system-administration-bif411
127,https://www.cs.purdue.edu/homes/bb/cs348/www-S08/syllabus.html
128,http://www.cs.nmsu.edu/~wxu/SyllabusFall2015.pdf
129,http://www.midland.edu/docs/public_information/paci/hb2504/syllabi/InfoTech/ITSE2409.pdf
130,http://www.muic.mahidol.ac.th/eng/wp-content/downloads/syllabi/EGCI423.pdf
131,http://www.melus.org/resources/syllabus-database/
132,http://cis.baruch.cuny.edu/cis-9340/
133,https://www.microsoft.com/en-us/learning/exam-70-462.aspx
134,https://www.cs.etsu.edu/sites/default/files/images/content/files/CSCI-1102-Syllabus.pdf
135,http://www.csc.villanova.edu/~nbercich/mis2030/Spring2013Syllabus.pdf
