ID,link,hyperlink
46,http://www.ed2go.com/uwf/online-courses/java-programming-intermediate%3Ftab%3Dsyllabus,http://www.ed2go.com/uwf/online-courses/java-programming-intermediate%3Ftab%3Dsyllabus
47,https://syllabi.imperial.edu/%3Ftask%3Dview%26course_id%3D201520.20342,https://syllabi.imperial.edu/%3Ftask%3Dview%26course_id%3D201520.20342
48,http://www.memphis.edu/cs/courses/syllabi/4014.pdf,http://www.memphis.edu/cs/courses/syllabi/4014.pdf
49,http://cs.unc.edu/~aikat/courses/comp110/syllabus.pdf,http://cs.unc.edu/~aikat/courses/comp110/syllabus.pdf
50,http://www.uu.se/en/admissions/master/selma/kursplan/%3Fkpid%3D15110%26type%3D1,http://www.uu.se/en/admissions/master/selma/kursplan/%3Fkpid%3D15110%26type%3D1
51,https://www.saddleback.edu/faculty/tdedonno/cimp7a/syllabus.htm,https://www.saddleback.edu/faculty/tdedonno/cimp7a/syllabus.htm
52,http://www.homeschoolprogramming.com/teencoder/teencoder_jv_series.php,http://www.homeschoolprogramming.com/teencoder/teencoder_jv_series.php
53,https://staff.rmcc.edu/kpage/docs/cst124/cst124-syllabus.pdf,https://staff.rmcc.edu/kpage/docs/cst124/cst124-syllabus.pdf
54,http://cs.lmu.edu/~ray/classes/cdp/syllabus/,http://cs.lmu.edu/~ray/classes/cdp/syllabus/
55,https://www.coursehero.com/file/11583788/Java-Syllabus/,https://www.coursehero.com/file/11583788/Java-Syllabus/
56,http://www.gtu.ac.in/Syllabus/New_Diploma/sem-5/Pdf/3350703.pdf,http://www.gtu.ac.in/Syllabus/New_Diploma/sem-5/Pdf/3350703.pdf
57,http://pweb.cgc.maricopa.edu/patbt95981/CSC110CIS163/SyllabusCIS163AA.html,http://pweb.cgc.maricopa.edu/patbt95981/CSC110CIS163/SyllabusCIS163AA.html
58,http://www.tamuc.edu/academics/cvSyllabi/syllabi/201620/21641.pdf,http://www.tamuc.edu/academics/cvSyllabi/syllabi/201620/21641.pdf
59,http://sggs.ac.in/newit/advance-java-syllabus,http://sggs.ac.in/newit/advance-java-syllabus
60,https://www.rcgc.edu/Syllabi/Documents/CSC%2520Courses/CSC210.pdf,https://www.rcgc.edu/Syllabi/Documents/CSC%2520Courses/CSC210.pdf
61,http://web.cerritos.edu/jwilson/SitePages/cis_183/Fall_2016/old_CIS_183_Syllabus_Fall_2016.htm,http://web.cerritos.edu/jwilson/SitePages/cis_183/Fall_2016/old_CIS_183_Syllabus_Fall_2016.htm
62,http://www.csis.ysu.edu/~john/Java2/Syllabus.htm,http://www.csis.ysu.edu/~john/Java2/Syllabus.htm
63,https://cpslearning.regis.edu/syllabi/cs434.pdf,https://cpslearning.regis.edu/syllabi/cs434.pdf
64,https://www.canyons.edu/Departments/CMPSCI/Documents/ferguson/cs111/CS111Syllabus.html,https://www.canyons.edu/Departments/CMPSCI/Documents/ferguson/cs111/CS111Syllabus.html
65,https://courses.cs.washington.edu/courses/cse331/15sp/syllabus.html,https://courses.cs.washington.edu/courses/cse331/15sp/syllabus.html
66,https://www.deanza.edu/buscs/greensheets/gs_2014-2015/gsspring2015/Singh_CIS-35B-63Y_Spring2015.pdf,https://www.deanza.edu/buscs/greensheets/gs_2014-2015/gsspring2015/Singh_CIS-35B-63Y_Spring2015.pdf
67,http://www.ioenotes.edu.np/ioe-syllabus/elective-i-advanced-java-programming-893,http://www.ioenotes.edu.np/ioe-syllabus/elective-i-advanced-java-programming-893
68,http://apps.virginiawestern.edu/faculty/vwwolfd/VT120/ITP120VT.htm,http://apps.virginiawestern.edu/faculty/vwwolfd/VT120/ITP120VT.htm
69,http://www.cs.fsu.edu/~myers/cop3252/syllabus.html,http://www.cs.fsu.edu/~myers/cop3252/syllabus.html
70,https://cise.ufl.edu/class/cop3502sp12/syllabus,https://cise.ufl.edu/class/cop3502sp12/syllabus
71,http://www.heinz.cmu.edu/Courses/297syl.pdf,http://www.heinz.cmu.edu/Courses/297syl.pdf
72,https://docs.oracle.com/javase/tutorial/extra/certification/,https://docs.oracle.com/javase/tutorial/extra/certification/
73,http://www.csce145.com/p/syllabus.html,http://www.csce145.com/p/syllabus.html
74,https://www.udemy.com/java-programming-for-absolute-beginners_part-1/,https://www.udemy.com/java-programming-for-absolute-beginners_part-1/
75,http://www.du.se/en/Study-at-DU/Courses-A-O/Syllabus/%3Fkod%3DIK1004,http://www.du.se/en/Study-at-DU/Courses-A-O/Syllabus/%3Fkod%3DIK1004
76,https://www.wu.ac.at/fileadmin/wu/d/i/ec/Teaching/lv-beschreibung_businessprogrammingii.pdf,https://www.wu.ac.at/fileadmin/wu/d/i/ec/Teaching/lv-beschreibung_businessprogrammingii.pdf
77,http://csit.merospark.com/seventh-semester/advanced-java-programming-syllabus-seventh-semester-bsc-csit/,http://csit.merospark.com/seventh-semester/advanced-java-programming-syllabus-seventh-semester-bsc-csit/
78,http://www.ur.edu.pl/file/77262/Object-Oriented%2520Programmig%2520II.pdf,http://www.ur.edu.pl/file/77262/Object-Oriented%2520Programmig%2520II.pdf
79,http://ci245.com/syllabus.html,http://ci245.com/syllabus.html
80,http://bluehawk.monmouth.edu/rclayton/web-pages/s08-310/syl.html,http://bluehawk.monmouth.edu/rclayton/web-pages/s08-310/syl.html
81,http://studentboxoffice.in/jntuh/syllabus/Java%2520Programming%2520Lab/R13,http://studentboxoffice.in/jntuh/syllabus/Java%2520Programming%2520Lab/R13
82,https://www.edx.org/course/ap-computer-science-java-programming-purduex-cs180-1x,https://www.edx.org/course/ap-computer-science-java-programming-purduex-cs180-1x
83,http://www.sorcersoft.org/sobol/courses/java/syllabus/index.html,http://www.sorcersoft.org/sobol/courses/java/syllabus/index.html
84,http://www.sssit.org/core-java-syllabus,http://www.sssit.org/core-java-syllabus
85,http://www.cs.odu.edu/~cs476/,http://www.cs.odu.edu/~cs476/
86,http://www.faithinfosys.com/syllabus/Basicjava.pdf,http://www.faithinfosys.com/syllabus/Basicjava.pdf
87,https://myelms.umd.edu/courses/1130464/assignments/syllabus,https://myelms.umd.edu/courses/1130464/assignments/syllabus
88,http://cs.millersville.edu/~rwebster/edw749/edwAPJavaI.pdf,http://cs.millersville.edu/~rwebster/edw749/edwAPJavaI.pdf
